;Municipio;Total Total;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 1951 a 1960;Total De 1961 a 1970;Total De 1971 a 1980;Total De 1981 a 1990;Total De 1991 a 2000;Total De 2001 a 2010;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda principal Antes de 1900;Vivienda principal De 1900 a 1920;Vivienda principal De 1921 a 1940;Vivienda principal De 1941 a 1950;Vivienda principal De 1951 a 1960;Vivienda principal De 1961 a 1970;Vivienda principal De 1971 a 1980;Vivienda principal De 1981 a 1990;Vivienda principal De 1991 a 2000;Vivienda principal De 2001 a 2010;Vivienda principal De 2011 a 2020;Vivienda principal No consta;Vivienda no principal Total;Vivienda no principal Antes de 1900;Vivienda no principal De 1900 a 1920;Vivienda no principal De 1921 a 1940;Vivienda no principal De 1941 a 1950;Vivienda no principal De 1951 a 1960;Vivienda no principal De 1961 a 1970;Vivienda no principal De 1971 a 1980;Vivienda no principal De 1981 a 1990;Vivienda no principal De 1991 a 2000;Vivienda no principal De 2001 a 2010;Vivienda no principal De 2011 a 2020;Vivienda no principal No consta
0;Alacant/Alicante;187.658;350;1.752;3.098;2.582;9.027;48.513;36.844;23.531;21.912;33.951;3.395;2.703;135.864;160;842;1.673;1.592;6.476;34.126;27.129;17.252;17.057;26.575;1.875;1.107;51.794;190;910;1.425;990;2.551;14.387;9.715;6.279;4.855;7.376;1.520;1.596
1;Barcelona;808.751;35.051;75.201;85.023;23.495;76.057;204.691;168.880;36.979;38.471;39.713;11.007;14.183;671.177;24.835;55.343;64.829;18.575;64.178;180.965;151.280;33.392;34.269;32.740;8.173;2.598;137.574;10.216;19.858;20.194;4.920;11.879;23.726;17.600;3.587;4.202;6.973;2.834;11.585
2;Bilbao;165.685;3.882;8.025;9.342;7.491;27.965;44.185;28.462;9.329;9.204;12.806;4.994;0;149.461;3.178;6.822;8.165;6.557;25.140;40.108;26.339;8.576;8.449;11.834;4.293;0;16.224;704;1.203;1.177;934;2.825;4.077;2.123;753;755;972;701;0
3;A Coruña;136.205;1.636;2.530;5.276;3.534;7.763;31.441;25.289;16.852;17.754;20.711;3.072;347;104.637;832;1.306;2.997;2.293;5.499;24.280;20.627;14.222;14.647;15.961;1.712;261;31.568;804;1.224;2.279;1.241;2.264;7.161;4.662;2.630;3.107;4.750;1.360;86
4;Córdoba;155.400;6;819;1.792;3.875;8.905;32.892;34.412;19.388;24.315;22.305;6.008;683;122.668;5;537;1.087;2.620;6.598;25.690;28.275;15.979;20.261;17.027;4.031;558;32.732;1;282;705;1.255;2.307;7.202;6.137;3.409;4.054;5.278;1.977;125
5;Elche/Elx;116.080;169;1.831;1.903;1.520;4.822;19.731;23.369;18.063;15.553;25.559;3.140;420;88.498;64;833;888;753;3.409;15.835;19.089;13.921;11.562;20.094;1.705;345;27.582;105;998;1.015;767;1.413;3.896;4.280;4.142;3.991;5.465;1.435;75
6;Gijón;148.955;1.805;2.071;1.845;1.417;8.266;39.067;32.579;13.990;19.998;21.798;4.255;1.864;120.349;1.027;1.151;1.092;913;6.377;31.170;27.410;11.992;17.012;17.970;3.358;877;28.606;778;920;753;504;1.889;7.897;5.169;1.998;2.986;3.828;897;987
7;Granada;141.257;465;4.588;2.640;2.475;5.713;29.159;38.819;20.318;15.488;17.191;3.083;1.318;98.316;181;2.285;1.175;1.431;3.624;19.242;28.520;15.461;11.670;12.278;1.730;719;42.941;284;2.303;1.465;1.044;2.089;9.917;10.299;4.857;3.818;4.913;1.353;599
8;L´Hospitalet de Llobregat;110.488;98;1.016;3.786;1.964;11.954;41.449;32.973;3.440;3.786;6.663;2.907;452;101.809;66;801;3.128;1.659;11.063;39.062;31.115;3.148;3.532;5.698;2.335;202;8.679;32;215;658;305;891;2.387;1.858;292;254;965;572;250
9;Madrid;1.533.221;16.328;74.456;93.505;56.596;184.107;360.734;231.957;131.767;151.837;178.371;46.484;7.079;1.322.855;12.813;59.574;74.923;47.047;162.211;320.555;205.661;118.603;133.628;148.371;33.183;6.286;210.366;3.515;14.882;18.582;9.549;21.896;40.179;26.296;13.164;18.209;30.000;13.301;793
10;Murcia;219.740;155;1.771;3.707;5.924;12.914;25.400;28.664;25.723;32.532;63.550;5.463;13.937;163.570;65;949;2.077;3.533;8.800;19.326;23.416;21.708;27.424;45.919;3.246;7.107;56.170;90;822;1.630;2.391;4.114;6.074;5.248;4.015;5.108;17.631;2.217;6.830
11;Málaga;261.857;2.091;2.645;3.381;3.505;8.580;49.956;69.920;32.174;31.334;45.736;6.349;6.186;218.245;930;1.232;2.441;2.680;7.201;42.293;61.836;28.378;27.199;36.933;3.831;3.291;43.612;1.161;1.413;940;825;1.379;7.663;8.084;3.796;4.135;8.803;2.518;2.895
12;Palma;186.482;3.858;7.836;9.238;6.420;12.330;34.017;40.493;17.562;17.831;26.855;4.349;5.693;157.101;2.357;5.258;7.238;5.105;10.372;30.099;36.894;15.685;15.787;22.784;2.619;2.903;29.381;1.501;2.578;2.000;1.315;1.958;3.918;3.599;1.877;2.044;4.071;1.730;2.790
13;Las Palmas de Gran Canaria;175.181;536;2.422;5.360;4.824;11.281;38.229;36.964;16.875;21.583;27.146;1.432;8.529;143.195;362;1.727;4.021;3.767;9.289;31.389;32.047;14.659;18.264;22.294;908;4.468;31.986;174;695;1.339;1.057;1.992;6.840;4.917;2.216;3.319;4.852;524;4.061
14;Sevilla;327.393;242;5.411;10.937;7.737;24.467;69.247;80.169;44.235;42.924;30.957;8.620;2.447;266.588;115;2.918;7.300;5.372;19.244;55.128;67.684;37.984;36.781;25.823;6.979;1.260;60.805;127;2.493;3.637;2.365;5.223;14.119;12.485;6.251;6.143;5.134;1.641;1.187
15;Valladolid;159.363;802;2.097;2.237;2.534;9.244;44.283;33.171;19.510;20.243;22.778;2.185;279;127.185;384;998;1.306;1.768;6.873;35.083;27.635;16.379;17.124;17.997;1.454;184;32.178;418;1.099;931;766;2.371;9.200;5.536;3.131;3.119;4.781;731;95
16;Valencia;414.988;5.342;12.000;23.584;11.660;38.383;94.049;99.336;40.766;43.705;38.902;5.024;2.237;323.171;2.728;6.455;14.804;8.205;29.320;73.895;82.290;34.092;36.744;30.766;3.128;744;91.817;2.614;5.545;8.780;3.455;9.063;20.154;17.046;6.674;6.961;8.136;1.896;1.493
17;Vigo;144.293;843;5.620;5.085;5.394;9.577;20.613;30.608;18.282;22.933;20.636;2.407;2.295;114.082;489;3.616;3.427;3.882;7.372;16.773;25.849;15.711;18.684;16.023;1.602;654;30.211;354;2.004;1.658;1.512;2.205;3.840;4.759;2.571;4.249;4.613;805;1.641
18;Vitoria-Gasteiz;119.853;1.043;852;998;1.793;6.645;22.392;25.975;16.050;12.326;24.506;7.273;0;107.165;743;664;783;1.487;5.552;19.435;23.510;14.561;11.019;22.840;6.571;0;12.688;300;188;215;306;1.093;2.957;2.465;1.489;1.307;1.666;702;0
19;Zaragoza;338.961;965;3.227;11.897;9.268;26.781;70.550;64.791;44.175;43.180;45.464;12.075;6.588;280.054;479;1.978;7.977;6.805;20.743;57.862;55.678;38.815;37.751;39.030;10.100;2.836;58.907;486;1.249;3.920;2.463;6.038;12.688;9.113;5.360;5.429;6.434;1.975;3.752
