Municipios (con más de 50.000 habitantes) y capitales de provincia;Régimen de tenencia de la vivienda;Total
01059 Vitoria-Gasteiz;Total (régimen de tenencia);107.165
01059 Vitoria-Gasteiz;En propiedad;88.571
01059 Vitoria-Gasteiz;En alquiler;16.237
01059 Vitoria-Gasteiz;Otro régimen de tenencia;2.357
02003 Albacete;Total (régimen de tenencia);66.328
02003 Albacete;En propiedad;53.566
02003 Albacete;En alquiler;8.748
02003 Albacete;Otro régimen de tenencia;4.014
03009 Alcoy/Alcoi;Total (régimen de tenencia);24.615
03009 Alcoy/Alcoi;En propiedad;19.707
03009 Alcoy/Alcoi;En alquiler;3.171
03009 Alcoy/Alcoi;Otro régimen de tenencia;1.737
03014 Alicante/Alacant;Total (régimen de tenencia);135.864
03014 Alicante/Alacant;En propiedad;104.009
03014 Alicante/Alacant;En alquiler;21.801
03014 Alicante/Alacant;Otro régimen de tenencia;10.054
03031 Benidorm;Total (régimen de tenencia);29.550
03031 Benidorm;En propiedad;18.686
03031 Benidorm;En alquiler;7.773
03031 Benidorm;Otro régimen de tenencia;3.091
03065 Elche/Elx;Total (régimen de tenencia);88.498
03065 Elche/Elx;En propiedad;72.774
03065 Elche/Elx;En alquiler;10.843
03065 Elche/Elx;Otro régimen de tenencia;4.881
03066 Elda;Total (régimen de tenencia);21.028
03066 Elda;En propiedad;17.314
03066 Elda;En alquiler;2.232
03066 Elda;Otro régimen de tenencia;1.482
03099 Orihuela;Total (régimen de tenencia);31.805
03099 Orihuela;En propiedad;24.763
03099 Orihuela;En alquiler;4.959
03099 Orihuela;Otro régimen de tenencia;2.083
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Total (régimen de tenencia);21.721
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;En propiedad;17.696
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;En alquiler;2.577
03122 San Vicente del Raspeig/Sant Vicent del Raspeig;Otro régimen de tenencia;1.448
03133 Torrevieja;Total (régimen de tenencia);36.829
03133 Torrevieja;En propiedad;25.979
03133 Torrevieja;En alquiler;7.622
03133 Torrevieja;Otro régimen de tenencia;3.228
04013 Almería;Total (régimen de tenencia);75.980
04013 Almería;En propiedad;55.531
04013 Almería;En alquiler;12.711
04013 Almería;Otro régimen de tenencia;7.738
04079 Roquetas de Mar;Total (régimen de tenencia);37.295
04079 Roquetas de Mar;En propiedad;25.105
04079 Roquetas de Mar;En alquiler;7.488
04079 Roquetas de Mar;Otro régimen de tenencia;4.702
04902 Ejido, El;Total (régimen de tenencia);28.813
04902 Ejido, El;En propiedad;21.187
04902 Ejido, El;En alquiler;4.640
04902 Ejido, El;Otro régimen de tenencia;2.986
05019 Ávila;Total (régimen de tenencia);24.433
05019 Ávila;En propiedad;19.095
05019 Ávila;En alquiler;3.492
05019 Ávila;Otro régimen de tenencia;1.846
06015 Badajoz;Total (régimen de tenencia);58.015
06015 Badajoz;En propiedad;43.976
06015 Badajoz;En alquiler;8.151
06015 Badajoz;Otro régimen de tenencia;5.888
06083 Mérida;Total (régimen de tenencia);23.245
06083 Mérida;En propiedad;17.865
06083 Mérida;En alquiler;2.907
06083 Mérida;Otro régimen de tenencia;2.473
07011 Calvià;Total (régimen de tenencia);20.609
07011 Calvià;En propiedad;13.427
07011 Calvià;En alquiler;5.500
07011 Calvià;Otro régimen de tenencia;1.682
07026 Eivissa;Total (régimen de tenencia);18.516
07026 Eivissa;En propiedad;10.745
07026 Eivissa;En alquiler;5.933
07026 Eivissa;Otro régimen de tenencia;1.838
07040 Palma;Total (régimen de tenencia);157.101
07040 Palma;En propiedad;104.815
07040 Palma;En alquiler;39.403
07040 Palma;Otro régimen de tenencia;12.883
08015 Badalona;Total (régimen de tenencia);83.337
08015 Badalona;En propiedad;61.550
08015 Badalona;En alquiler;16.968
08015 Badalona;Otro régimen de tenencia;4.819
08019 Barcelona;Total (régimen de tenencia);671.177
08019 Barcelona;En propiedad;409.684
08019 Barcelona;En alquiler;208.468
08019 Barcelona;Otro régimen de tenencia;53.025
08056 Castelldefels;Total (régimen de tenencia);24.792
08056 Castelldefels;En propiedad;16.298
08056 Castelldefels;En alquiler;6.728
08056 Castelldefels;Otro régimen de tenencia;1.766
08073 Cornellà de Llobregat;Total (régimen de tenencia);34.517
08073 Cornellà de Llobregat;En propiedad;24.696
08073 Cornellà de Llobregat;En alquiler;7.822
08073 Cornellà de Llobregat;Otro régimen de tenencia;1.999
08096 Granollers;Total (régimen de tenencia);23.463
08096 Granollers;En propiedad;15.818
08096 Granollers;En alquiler;6.022
08096 Granollers;Otro régimen de tenencia;1.623
08101 Hospitalet de Llobregat, L';Total (régimen de tenencia);101.809
08101 Hospitalet de Llobregat, L';En propiedad;66.941
08101 Hospitalet de Llobregat, L';En alquiler;27.916
08101 Hospitalet de Llobregat, L';Otro régimen de tenencia;6.952
08113 Manresa;Total (régimen de tenencia);31.030
08113 Manresa;En propiedad;19.891
08113 Manresa;En alquiler;8.793
08113 Manresa;Otro régimen de tenencia;2.346
08121 Mataró;Total (régimen de tenencia);48.140
08121 Mataró;En propiedad;33.735
08121 Mataró;En alquiler;11.502
08121 Mataró;Otro régimen de tenencia;2.903
08124 Mollet del Vallès;Total (régimen de tenencia);19.238
08124 Mollet del Vallès;En propiedad;14.405
08124 Mollet del Vallès;En alquiler;3.851
08124 Mollet del Vallès;Otro régimen de tenencia;982
08169 Prat de Llobregat, El;Total (régimen de tenencia);24.614
08169 Prat de Llobregat, El;En propiedad;19.145
08169 Prat de Llobregat, El;En alquiler;4.151
08169 Prat de Llobregat, El;Otro régimen de tenencia;1.318
08184 Rubí;Total (régimen de tenencia);28.881
08184 Rubí;En propiedad;21.053
08184 Rubí;En alquiler;6.181
08184 Rubí;Otro régimen de tenencia;1.647
08187 Sabadell;Total (régimen de tenencia);83.558
08187 Sabadell;En propiedad;61.128
08187 Sabadell;En alquiler;17.407
08187 Sabadell;Otro régimen de tenencia;5.023
08200 Sant Boi de Llobregat;Total (régimen de tenencia);31.529
08200 Sant Boi de Llobregat;En propiedad;24.401
08200 Sant Boi de Llobregat;En alquiler;5.515
08200 Sant Boi de Llobregat;Otro régimen de tenencia;1.613
08205 Sant Cugat del Vallès;Total (régimen de tenencia);31.327
08205 Sant Cugat del Vallès;En propiedad;21.572
08205 Sant Cugat del Vallès;En alquiler;7.968
08205 Sant Cugat del Vallès;Otro régimen de tenencia;1.787
08245 Santa Coloma de Gramenet;Total (régimen de tenencia);44.180
08245 Santa Coloma de Gramenet;En propiedad;30.841
08245 Santa Coloma de Gramenet;En alquiler;10.465
08245 Santa Coloma de Gramenet;Otro régimen de tenencia;2.874
08266 Cerdanyola del Vallès;Total (régimen de tenencia);21.726
08266 Cerdanyola del Vallès;En propiedad;16.491
08266 Cerdanyola del Vallès;En alquiler;4.082
08266 Cerdanyola del Vallès;Otro régimen de tenencia;1.153
08279 Terrassa;Total (régimen de tenencia);84.791
08279 Terrassa;En propiedad;60.652
08279 Terrassa;En alquiler;19.066
08279 Terrassa;Otro régimen de tenencia;5.073
08301 Viladecans;Total (régimen de tenencia);24.405
08301 Viladecans;En propiedad;19.606
08301 Viladecans;En alquiler;3.726
08301 Viladecans;Otro régimen de tenencia;1.073
08307 Vilanova i la Geltrú;Total (régimen de tenencia);26.067
08307 Vilanova i la Geltrú;En propiedad;18.219
08307 Vilanova i la Geltrú;En alquiler;6.133
08307 Vilanova i la Geltrú;Otro régimen de tenencia;1.715
09059 Burgos;Total (régimen de tenencia);73.410
09059 Burgos;En propiedad;59.656
09059 Burgos;En alquiler;10.277
09059 Burgos;Otro régimen de tenencia;3.477
10037 Cáceres;Total (régimen de tenencia);39.048
10037 Cáceres;En propiedad;30.790
10037 Cáceres;En alquiler;5.207
10037 Cáceres;Otro régimen de tenencia;3.051
11004 Algeciras;Total (régimen de tenencia);45.430
11004 Algeciras;En propiedad;35.943
11004 Algeciras;En alquiler;6.298
11004 Algeciras;Otro régimen de tenencia;3.189
11012 Cádiz;Total (régimen de tenencia);46.071
11012 Cádiz;En propiedad;34.807
11012 Cádiz;En alquiler;7.587
11012 Cádiz;Otro régimen de tenencia;3.677
11015 Chiclana de la Frontera;Total (régimen de tenencia);31.638
11015 Chiclana de la Frontera;En propiedad;25.088
11015 Chiclana de la Frontera;En alquiler;4.418
11015 Chiclana de la Frontera;Otro régimen de tenencia;2.132
11020 Jerez de la Frontera;Total (régimen de tenencia);79.708
11020 Jerez de la Frontera;En propiedad;66.173
11020 Jerez de la Frontera;En alquiler;9.068
11020 Jerez de la Frontera;Otro régimen de tenencia;4.467
11022 Línea de la Concepción, La;Total (régimen de tenencia);24.282
11022 Línea de la Concepción, La;En propiedad;18.753
11022 Línea de la Concepción, La;En alquiler;3.627
11022 Línea de la Concepción, La;Otro régimen de tenencia;1.902
11027 Puerto de Santa María, El;Total (régimen de tenencia);32.489
11027 Puerto de Santa María, El;En propiedad;25.882
11027 Puerto de Santa María, El;En alquiler;4.514
11027 Puerto de Santa María, El;Otro régimen de tenencia;2.093
11031 San Fernando;Total (régimen de tenencia);34.878
11031 San Fernando;En propiedad;29.093
11031 San Fernando;En alquiler;3.813
11031 San Fernando;Otro régimen de tenencia;1.972
11032 Sanlúcar de Barrameda;Total (régimen de tenencia);25.294
11032 Sanlúcar de Barrameda;En propiedad;19.283
11032 Sanlúcar de Barrameda;En alquiler;4.225
11032 Sanlúcar de Barrameda;Otro régimen de tenencia;1.786
12040 Castelló de la Plana;Total (régimen de tenencia);69.787
12040 Castelló de la Plana;En propiedad;52.811
12040 Castelló de la Plana;En alquiler;10.267
12040 Castelló de la Plana;Otro régimen de tenencia;6.709
12135 Vila-real;Total (régimen de tenencia);19.177
12135 Vila-real;En propiedad;15.672
12135 Vila-real;En alquiler;1.928
12135 Vila-real;Otro régimen de tenencia;1.577
13034 Ciudad Real;Total (régimen de tenencia);29.875
13034 Ciudad Real;En propiedad;23.061
13034 Ciudad Real;En alquiler;5.170
13034 Ciudad Real;Otro régimen de tenencia;1.644
14021 Córdoba;Total (régimen de tenencia);122.668
14021 Córdoba;En propiedad;102.031
14021 Córdoba;En alquiler;13.264
14021 Córdoba;Otro régimen de tenencia;7.373
15030 Coruña, A;Total (régimen de tenencia);104.637
15030 Coruña, A;En propiedad;69.246
15030 Coruña, A;En alquiler;24.679
15030 Coruña, A;Otro régimen de tenencia;10.712
15036 Ferrol;Total (régimen de tenencia);29.247
15036 Ferrol;En propiedad;20.852
15036 Ferrol;En alquiler;5.680
15036 Ferrol;Otro régimen de tenencia;2.715
15078 Santiago de Compostela;Total (régimen de tenencia);39.315
15078 Santiago de Compostela;En propiedad;25.700
15078 Santiago de Compostela;En alquiler;9.265
15078 Santiago de Compostela;Otro régimen de tenencia;4.350
16078 Cuenca;Total (régimen de tenencia);22.187
16078 Cuenca;En propiedad;17.699
16078 Cuenca;En alquiler;2.930
16078 Cuenca;Otro régimen de tenencia;1.558
17079 Girona;Total (régimen de tenencia);38.711
17079 Girona;En propiedad;24.892
17079 Girona;En alquiler;11.946
17079 Girona;Otro régimen de tenencia;1.873
18087 Granada;Total (régimen de tenencia);98.316
18087 Granada;En propiedad;70.361
18087 Granada;En alquiler;18.166
18087 Granada;Otro régimen de tenencia;9.789
18140 Motril;Total (régimen de tenencia);21.576
18140 Motril;En propiedad;16.984
18140 Motril;En alquiler;3.036
18140 Motril;Otro régimen de tenencia;1.556
19130 Guadalajara;Total (régimen de tenencia);34.106
19130 Guadalajara;En propiedad;24.112
19130 Guadalajara;En alquiler;7.318
19130 Guadalajara;Otro régimen de tenencia;2.676
20045 Irun;Total (régimen de tenencia);25.411
20045 Irun;En propiedad;20.433
20045 Irun;En alquiler;4.039
20045 Irun;Otro régimen de tenencia;939
20069 Donostia/San Sebastián;Total (régimen de tenencia);79.333
20069 Donostia/San Sebastián;En propiedad;62.277
20069 Donostia/San Sebastián;En alquiler;14.818
20069 Donostia/San Sebastián;Otro régimen de tenencia;2.238
21041 Huelva;Total (régimen de tenencia);55.813
21041 Huelva;En propiedad;45.648
21041 Huelva;En alquiler;4.786
21041 Huelva;Otro régimen de tenencia;5.379
22125 Huesca;Total (régimen de tenencia);21.830
22125 Huesca;En propiedad;15.845
22125 Huesca;En alquiler;4.333
22125 Huesca;Otro régimen de tenencia;1.652
23050 Jaén;Total (régimen de tenencia);43.149
23050 Jaén;En propiedad;36.008
23050 Jaén;En alquiler;4.223
23050 Jaén;Otro régimen de tenencia;2.918
23055 Linares;Total (régimen de tenencia);21.526
23055 Linares;En propiedad;17.721
23055 Linares;En alquiler;2.100
23055 Linares;Otro régimen de tenencia;1.705
24089 León;Total (régimen de tenencia);55.185
24089 León;En propiedad;37.878
24089 León;En alquiler;11.541
24089 León;Otro régimen de tenencia;5.766
24115 Ponferrada;Total (régimen de tenencia);27.569
24115 Ponferrada;En propiedad;19.304
24115 Ponferrada;En alquiler;5.510
24115 Ponferrada;Otro régimen de tenencia;2.755
25120 Lleida;Total (régimen de tenencia);54.542
25120 Lleida;En propiedad;38.694
25120 Lleida;En alquiler;12.648
25120 Lleida;Otro régimen de tenencia;3.200
26089 Logroño;Total (régimen de tenencia);62.937
26089 Logroño;En propiedad;49.958
26089 Logroño;En alquiler;9.474
26089 Logroño;Otro régimen de tenencia;3.505
27028 Lugo;Total (régimen de tenencia);41.300
27028 Lugo;En propiedad;30.409
27028 Lugo;En alquiler;7.596
27028 Lugo;Otro régimen de tenencia;3.295
28005 Alcalá de Henares;Total (régimen de tenencia);72.991
28005 Alcalá de Henares;En propiedad;56.370
28005 Alcalá de Henares;En alquiler;13.323
28005 Alcalá de Henares;Otro régimen de tenencia;3.298
28006 Alcobendas;Total (régimen de tenencia);40.084
28006 Alcobendas;En propiedad;30.002
28006 Alcobendas;En alquiler;8.584
28006 Alcobendas;Otro régimen de tenencia;1.498
28007 Alcorcón;Total (régimen de tenencia);65.867
28007 Alcorcón;En propiedad;53.514
28007 Alcorcón;En alquiler;9.468
28007 Alcorcón;Otro régimen de tenencia;2.885
