;Total viviendas en municipio;Total Antes de 1900;Total De 1900 a 1920;Total De 1921 a 1940;Total De 1941 a 1950;Total De 2011 a 2020;Total No consta;Vivienda principal Total;Vivienda no principal Total;Total De 1951 a 1970;Total De 1971 a 1990;Total De 1991 a 2010;Municipio
0;187.658;350.0;1.752;3.098;2.582;3.395;2.703;135.864;51.794;57.54;60.375;55.863;Alacant/Alicante
1;808.751;35.051;75.201;85.023;23.495;11.007;14.183;671.177;137.574;280.748;205.85899999999998;78.184;Barcelona
2;165.685;3.882;8.025;9.342;7.491;4.994;0.0;149.461;16.224;72.15;37.791;22.009999999999998;Bilbao
3;136.205;1.636;2.53;5.276;3.534;3.072;347.0;104.637;31.568;39.204;42.141000000000005;38.465;A Coru침a
4;155.4;6.0;819.0;1.792;3.875;6.008;683.0;122.668;32.732;41.797000000000004;53.8;46.620000000000005;C칩rdoba
5;116.08;169.0;1.831;1.903;1.52;3.14;420.0;88.498;27.582;24.553;41.432;41.112;Elche/Elx
6;148.955;1.805;2.071;1.845;1.417;4.255;1.864;120.349;28.606;47.333;46.569;41.796;Gij칩n
7;141.257;465.0;4.588;2.64;2.475;3.083;1.318;98.316;42.941;34.872;59.137;32.679;Granada
8;;16.328;74.456;93.505;56.596;46.484;7.079;;210.366;544.841;363.724;330.20799999999997;Madrid
9;219.74;155.0;1.771;3.707;5.924;5.463;13.937;163.57;56.17;38.314;54.387;96.082;Murcia
10;261.857;2.091;2.645;3.381;3.505;6.349;6.186;218.245;43.612;58.536;102.094;77.07;M치laga
11;186.482;3.858;7.836;9.238;6.42;4.349;5.693;157.101;29.381;46.347;58.05500000000001;44.686;Palma
12;175.181;536.0;2.422;5.36;4.824;1.432;8.529;143.195;31.986;49.51;53.839;48.729;Las Palmas de Gran Canaria
13;327.393;242.0;5.411;10.937;7.737;8.62;2.447;266.588;60.805;93.714;124.404;73.881;Sevilla
14;159.363;802.0;2.097;2.237;2.534;2.185;279.0;127.185;32.178;53.527;52.681;43.021;Valladolid
15;144.293;843.0;5.62;5.085;5.394;2.407;2.295;114.082;30.211;30.189999999999998;48.89;43.569;Vigo
16;119.853;1.043;852.0;998.0;1.793;7.273;0.0;107.165;12.688;29.037;42.025000000000006;36.832;Vitoria-Gasteiz
17;338.961;965.0;3.227;11.897;9.268;12.075;6.588;280.054;58.907;97.33099999999999;108.966;88.644;Zaragoza
